Time,Speaker,Text
0:00,Sanyam Bhutani,"Hello world, it's May 27, 2020. And I just turned 23. Welcome to ""Chai Time Data Science"", but a special AMA episode.

Sanyam Bhutani  0:23  
So this is sort of a special episode and I do apologise if you've come here for interviews with my machine learning heroes because this is slightly different. And this idea came out of actually a chai time chat at at work where I'm fortunate, really fortunate to be working with Rohan Rao and Parul Pandey who suggested this idea that for a birthday special, maybe I could invite questions from my heroes that I've been interviewing and just answer them. So this is what it is. To my surprise in the past three or four dayss that I've reached out to a lot of people, I got over 90 questions it might as well over 100 I didn't count exactly. And I also really wanted to do a celebration video my interview series is about to reach the number 100. Publicly, it's not 100 because I release to every week and the hundred is still to be released, but I thought might as well use this excuse. So, here I am with questions from a lot of people that I've been fortunate enough to have interviewed a lot of people that I have known by the series and I will try my best to answer their questions. Hope you enjoyed this. And feel free to ask me anything once this goes live. I'll I'll I'm going to be celebrating my birthday online. We unfortunately we can't go outside and I hope you can join me in that. So how this is going to be formatted is I'm going to try and narrate out the question. And I know a large number of you tuned in to the audio screen, so I would request you to go to the video stream. If you can't tell I've just come up with a new setup. I'm using a new camera, a new mic, and also a new look. I will try my best to edit it in a format that allows the questions to be better readable.

Sanyam Bhutani  2:24  
Another caution. I may speak out these names as if they are my best buddies. But really they are my heroes. And I am really fortunate that they said yes to this idea. I'm really fortunate that I am. I have gotten to know them. So the first question is by Radek Osmulski who's been a personal mentor of mine, amazing fast.ai classmate, and his question is once you can safely travel and attend classes in person, are you planning on attending a fast AI course in person in San Francisco? Let me give you a bit of background this year. was supposed to be really exciting, especially this birthday of mine. It was planned. I had planned to celebrate it in California in San Francisco, along with all of these amazing people that have known through the internet. Yes once things get back to normal, the world is back to normal. I would absolutely love to meet my gurus from fast AI would absolutely love to meet the community there most definitely."
3:24,Sanyam Bhutani,"The next question is from Rohan Rao who's a data scientist at h2o Kaggle Grand Master and also worldwide known sodoku champion, what are the top enhancements or changes you're working on for CTDS? Anything to look forward to, in the near future? Uh funny story. The branding idea of CTDS actually came from Rohan, thanks to his suggestion. And yes, there are a lot of exciting things that I am I've been working on. So three things. I'm launching a new podcast. Yes, a new podcast called ""Chai Time Data Science News"" CTDS.news. You can find another write up that will live with this blog post. You can read all about it. But the idea is to give you a short news podcast, ideally in three to five minutes, always less than 10 minutes for you to be able to be on top of data science news, basically. Now if you know me, I am completely community driven. So if you have any thoughts around around that, please let me know the first episode is supposed to go live somewhere in the first week of June, so in a few days from now, but we'll see how that goes. Secondly, you as you might know, I have been subtitling, every single one of the interview that goes out is all of the two interviews that go out and have been going on since January. And now I will be starting a blog version release of these also in the first week of June or probably before that. So you can read you can expect blog releases and also short, interesting parts of the conversation short clips. I was going to call it cutting chai shorts from ""Chai Time Data Science.' So really excited about that. I also have a new set a new camera a new mic my new look. But we'll see how that goes. The ""Chai Time Data Science"" story, how did it all begin? So, I have been interviewing my heroes on machine learning in a blog format. And I started that in my third year of studies third year of university. I did almost 25 interviews but after a point did it start I started feeling it was getting repetitive. My questions were getting repetitive and I I didn't want to just go out there and waste these amazing people that were giving me their time, their time. Also, to me it was feeling like I was asking these heroes of mine to write the blog posts for me It means that that's how it would fit into my pipe and I'll send them in questions they would write the answers back. Another thing that I really wanted to do was I, luckily, was able to interview many Kaggle Grand Masters many Kaggle Masters. And I wanted to apply their advice myself. So this might not happen in parallel, but I focus more on Kaggle, I really focus on Kaggle at least so six, seven months that I was active on the platform. And right around the last few months of my activity, I actually made it to the finals of the Google air residency programme. So I was also freelancing at that time freelancing because you're not allowed to have a job job in college. And I had opted out of college placement. So in India, your college helps you get a job. I had opted out of that very boldly because I didn't see any machine learning related roles. I was gonna my I thought might as well just get if I really want to do this if, if I'm not confident enough, why dare I say that I'd love to be a part of this field. So I did that. And if you have worked in consulting or freelancing, you know, when it rains, it pours. And when it doesn't, it's drier than a desert. So the Google a residency"
7:19,Sanyam Bhutani,"looked like it was going to be my salvation, it was going to be the amazing path out everything's gonna pan out this crazy part, different part that I had set on, and it might not sound crazy to you, but it was quite a bit of a challenge for me to convince my parents, which was not that hard after after the first few paychecks came in, but it personally, I was hoping that this would you know, connect the dots. No doubt I failed that interview. So, there are two things and first one would be with blogging. I never imagined Didn't even in my wildest estimate that I'd get to the audience attack code and all, all credit goes to hacker noon and Rachel Thomas, whose advice I still try to apply. 1 million is a number that song makers might dream of. So that, to me, that was a number that I wouldn't even think of hitting in 10 years. And after hitting that in around two years, I wanted to try something else, switch to something else, you know, maybe podcasting, maybe video creation, just content creation in something else. In other media, and secondly, I tried to give back to the community because I realised he I didn't make it to the fine, make it to the other side, but what if I can help other people? What if I can help other Indians make it to the other side? So I got involved with all of them. Communities online that I code. And I actually started a child time, data science, or I don't remember if it was this call time chat. So I've I've written a blog post on this new time data saying show announcement, but I'll try to give you the gist of it. So in the snippet, I opened up a poll, and I asked people if they'd like to give me more than 25. If, if I get more than 25 emoji reactions, I'll open up my calendar, around 50 hours on my calendar and just try to help people as much as I can. 50 hours for that particular month, in under one day, actually, if I remember correctly under a few hours, my complete month got booked. Throughout May and June I ended up doing three calls every day with people from the amazing community the DSNet community. Just trying to help them out in any way I can. And what did led to was I became slightly more confident in the way I interact, and this, this helped me build up the confidence that led up to the podcast. If If I were to write something and I've already written this Pytorch in under Pytorch basics in under four minutes, they'll go out of date in six months, one year at best. If it's some other deep learning framework, it will go out of date and under a month, maybe. So I really enjoy doing these interviews because I feel these advices that have been coming out through this format is really timeless. So I want you to get back to that. And by this time in my freelance situation, it was raining, it was pouring. I was almost getting Bay Area payouts in Dehradun which is a small town in North India. It was quite a good situation that I was in in under a week. I decided I didn't care that about that much about money versus about how much value I can provide to the community. That is something that I have valued a lot growing up. And in under a month, I set myself up to launching the podcast doing two releases every week. That's how it all started. And here I am."
11:20,Sanyam Bhutani,"Has COVID-19 affected CTDS in any way positively or negatively? I mean, I am yes or no, I'm really lucky. I'm really fortunate that I get to sit at home, do this podcast. And I consider myself very fortunate. So the stats is lower to where I would have hoped it to be. At least since I've been doing this for the previous five, six months continuously, two releases every week. The process not so much. Chai Time has always been re-remote. CTDS.show has always been a remote podcast that happened through video call. "
12:01,Sanyam Bhutani,"The next question is by Vladimir Iglovikov, the computer vision Grand Master, what was your worst or most painful fail or mistake in last year? This goes back to the advice. And personally at least I've been really trying hard to apply all of the advice that has been shared to the interviews. Grand Master Ternaus, that's his name on ODS he had mentioned, you know, go out, work out a bit, take a bit of from this data science from this tech world. That's one thing I really feel that. So I also set myself up publicly to being accountable for this. I am overweight by 30 kgs, and I intend to lose 15 this year. I am 10 down that path. Still, I had failed pretty bad. And secondly, professionally speaking, Google was supposed to be the dot connector for me. And I worked really hard preparing for the interview, but I ended up failing it. And that luckily led me to starting this podcast which wouldn't have wouldn't have happened. But I remember last time exactly this this date last year, my birthday, my college had ended. So all of my friends had forgotten about my birthday. Secondly, I was off of social media since I was working almost full time with college in parallel. So I was trying to freelance with college in parallel. So the only people that were wishing me were my LinkedIn connections, a mutual fund where I had invested for tax saving and my credit card.  And I had just received my update or failing the interview. "
13:41,Sanyam Bhutani,"The next question by Rohan is what is your biggest achievement with respect to CTDS? I think I started this as an effort for the community. I never intended to monetize it. I haven't and I have been able to keep up with it. And for almost 75 interviews now the biggest achievement for me is this small value if you mean that I've been able to provide to the data science community this small contribution that I was able to meet, being naive 22 year old and experienced beginner I am myself. I am really fortunate that I was able to do so. And if I can mention another one, I was really lucky. I got to know so many people I got access to their brains, I got access to their times their unfilled, unfiltered advice. It's been a dream. "
14:46,Sanyam Bhutani,"Andrew Lukyaneko, Artgor, did your podcast have some real influence on you like developing some skills, finding a different job and so on? For the job yes, I'll save that for a later conversation, but that was part of the recognition that I had at h2o. I have been interviewing grandmasters, and a lot of them are at h2o the company where I am working right now. So, but I'll save that conversation for later. Secondly, one thing that I didn't expect better speaker if I mean, although I would say better interviewer as well. And secondly, I've been I've been doing two releases Sunday and Thursdays 9am Pacific sharp every week with audio, video, and proper checks subtitles. So it takes a lot of work. And I really learned how to manage my time really, really well. "
15:43,Sanyam Bhutani,"Sebastian Ruder, who's currently at deep mind, is there any advice you would give to your younger self at the point where you were just about to record your first podcast? I think in hindsight, the dots connect for me and I learned, so the process but if I could tell myself that you should really streamline the process, you should really nail down the editing, the subtitles, which took me a lot of time initially, because I was really trying to be very sincere, go through the videos really analyse what I'm doing try to figure that out. But if I had that streamlined better, I would have been able to ask questions more sincerely, I would have been able to spend more time trying to come up with questions that I'd like to ask better. "
16:34,Sanyam Bhutani,"Aleksey Gregorev, who's currently the lead at OLX group. I'm curious to know what do you think about ODS community? I see he sees that I am sometimes active there. So I am really fascinated by the Russian culture. And I had recently written a pretty long message of gratitude in the community. I think that's If I may say that are brutally honest, I got a thumbs up for the interview series from them. So I was able to share my interviews. This podcast is completely driven by the community. I don't monetize it. There are no channels I just posted in a few communities I just posted online on Twitter, LinkedIn. And ODS is a community where I posted it's one of the most active communities where I posted that's that's in my opinion, one of the biggest achievements also of this series that I got the thumbs up from ODS. "
17:40,Sanyam Bhutani,"My roommate from college Shyam Aghara asked how much money have I made? This is sort of funny. He already knows that. Zero. This this has been my service to the community if I did say that and I have absolutely enjoyed it so money is sort of a secondary, yep. I would like to buy a lot of graphic cards someday in the future when I am competing on Kaggle more. But technically, I don't monetize this. And I don't intend to. "
18:14,Sanyam Bhutani,"Suzanna Illic the founder and director of Machine Learning Tokyo asks, after talking to so many interesting and brilliant people in ML, on your podcast, what were some of your most memorable moments and your biggest personal and emulated takeaways? And a similar question by Hamel Husain staff ml engineer at GitHub, the most surprising or profound thing you learned after talking with data scientists in the community? Did you learn anything you didn't expect? So to me every single one of these interviews was really a blessing every single one of the people that I was able to talk to know via this podcast. I really enjoyed it that that was my biggest personal takeaway that I was able to connect with so many great minds in this field, I think and Suzanna might agree with me on this. It's a responsibility and it's also a learning experience if you create a warm and welcoming community and you try to help as many people. I respect the first day philosophy a lot, making deep learning uncool and that I try to contribute to that as much. That's one advice that has echoed throughout the interviews. A lot of these heroes of mine try to contribute to the community. That's why they came on the podcast you and I believe. Secondly, I thought after a while, you know, when you become a Grand Master, you've done like 50 competitions. You said you just take two or three hours to solve a problem. You're good. "
19:51,Sanyam Bhutani,"Sebastian Ruder asks, were there any key trends or commonalities that your, interview is mentioned? A personal misconception I had is data scientists can get away with not the best code. And data science doesn't necessarily have a lot of parallels with software engineering. I was quite wrong in that. Quite a few number of people have advised that if you are a good data scientist, you should also focus on make writing better code. And I am still learning both of these things. I'm still in the process of learning them. Second advice was don't just learn, implement. My favourite blog that I've written. My own personal writing is how not to do fast AI in there I talk about where you fall into the loop of infinite learning and actually never implement something. So implement stuff, Kaggle, really Kaggle. Kaggle a lot and see what you learn via blog post. Maybe even podcasts or videos."
21:02,Sanyam Bhutani,"There were a lot of Kagglers, in the podcast. They love kaggle. But are there some common problems with Kaggle or some other criticism? I want to throw a disclaimer out there, I am really a Kaggle noob. I am a three x Expert hoping to be a three x Master by the end of year. Which doesn't mean I'll be a Master in any sense. I'm just I'm just two or three years into my ML journey. Even less for Kaggle. But if I do say a few words, I think some people fall into the trap of gamification, just gamification, you know, where they forget that your material can receive upwards if you really create some good materials if you remain genuine. And this isn't pointed with any hero that I've interviewed, it's just an issue. And it's common when you gamify things right. It's it's common anywhere. We've also seen it inschool. And sometimes people aren't cautious about putting the best code out there on Kaggle, or at least for their internal solutions. So that's one thing. Or one criticism, if any that I could come up with. "
22:16,Sanyam Bhutani,"Dimitri Gordeev, the the lion from Kaggle team zoo, asks, what is the most controversial topic you came across while talking to different ML practitioners? I think people always don't see eye to eye when it comes to Kaggle. I respect the platform a lot. I am a fan of it. I'll hopefully keep interviewing more grandmasters more masters and hopefully also try to win. Well, those are big words maybe medal in a few competitions, but we'll see. So I think Kaggle is one of the controversial topics many people don't see eye to eye on it. "
23:00,Sanyam Bhutani,"What was the most awkward moment during an interview? There have been many. I think the one that stands out a lot is when I was interviewing the retired construction wor-worker Dieter: Grand Master Dieter Christof Henkel: So I was staying in a hostel to save expenses. And we had the hostel staff come in and clean their rooms every day. And those are those are loud people. That's that's pretty common in India, if you're from if you're doing it from another country, and I'm interviewing I'm in the middle of the call, I'm talking to Dieter, and the staff comes in and they really screaming on the top of their voice. So I had to actually ask Christoph to take a pause so that I could go talk to them and ask them to leave. We had a good laugh out of it though. "
23:53,Sanyam Bhutani,"Alex THE radiologists from fast AI Kaggle winner asks, what is the most embarrassing question that you asked during a podcast and blogs? The most embarrassing one to me is I talk a lot about I try to think a lot about and talk a lot about diversity and inclusion. And that has also been one of the biggest failures of time if I mean that I have, even though I would like to see the women representation in tech grow a lot. I would like to contribute to that in some way. I have actually propagated the bias a lot by just having the same proportion in numbers of the people that I have interviewed, it might be slightly better than some tech communities if I dare say that but you know, inviting someone on the podcast and asking them what can I do for what should we do for women, women women in machine learning and data science and at the same time I'm contributing to this bias I'm embarrassed by that honestly speaking. "
25:08,Sanyam Bhutani,"Parul Pandey, one of the best blog writers I've known and also at the time of recording she's a Master on Kaggle. Her question is name your favourite Grand Master from each of the Kaggle category who have been on CTDS, you cannot repeat the names. Wow, this is really difficult because every single one of the conversation as I really mean it when I say it was with a hero of mine, but if if I have to pick for competitions, Giba Gilberto, kernels SRK Sudalai Raj Kumar, and discussions CPMP John Francois Puget."
25:53,Sanyam Bhutani,"Yuri Kashnitsky, leader of mlcourse.ai was not a given that you've interviewed so many people can you pick up a couple of funny anecdotal stories that you enjoyed the most? Yes, retiring from construction and becoming Kaggle triple Grand Master. I don't know how Dieter did it but it's it's something out of the world. "
26:17,Sanyam Bhutani,"Sudalai Rajkumar SRK on Kaggle Kaggle Grand Master he asked if you are on the other side of the chair in CTDS whom would you like to see as the interviewer? Well, I this is a tough answer because I don't think I am qualified in any way to share any data science advice. If I am to pick the person from the field of AI, broadly speaking, Lex Fridman, if outside of it, Joe Rogan and what is your favourite data science podcast channel? Lex Friedman, the artificial intelligence podcast. When you start out in any journey, the imposter syndrome and some envy is prone to kick in. I'll be honest, it's, it's quite, I would always look up at Lex's podcasts and think this this person is getting millions of views and downloads to their podcast and I'm just getting a few hundred. Now well might might be 1000 around that number but later when the naive mind of my 22 year old self settled down, and I now I've almost watched all of his it's been my favourite part as and I'm really grateful that I don't think I'll be able capable of asking questions in such a capacity of you know, be able to look at the broader picture. Or I'm not there yet. That's one thing where Lex has been doing a phenomenal job. I think everyone knows that already. But being a very technical person yourself and then being able to appreciate philosophy in such a capacity. I don't know of anyone else that has been able to do it in AI. "
28:11,Sanyam Bhutani,"Kaggle legend Giba Gilberto asks, is it possible, and I haven't altered the questions that make look slightly better because and I think people have been very frank with their questions, but I'll just read them as is. Is it possible at the same time to work with data science, create content, play Kaggle, maintain a blog, interview data science heroes and play video games. What is your trick to balancing all activities? Those are very kind words from him. I, in my very honest with you, I think I've been doing a poor job across all of these. I've been trying my best but struggling to balance all of these. Secondly, I'm 23 years old. with almost no responsibilities and almost the entirety of my day is spent next to a computer my screen time, at least with these days or even on non pandemic days is usually around 12 hours now it's around 16 to 22 hours depending on, so I don't have a life outside of this, if I may, I really enjoy it. I love the process. And the love the support that how received from the community. I don't know if a bigger propeller than that. And a similar question by Shivam Bansal, kernels legend, Kaggle kernels legend and Grand Master, what is your biggest motivation and what keeps you motivated throughout the day and night? I am fascinated by machine learning. And I mean that in the most sincere its sincerest sense, I mean that in the truest sense. So just my passion for the field and how much I value and I'm really lucky to be able to do the things I love. So I'm the luckiest person like I am fortunate enough to be able to do that in a personal space also and my personal and professional boundaries blur a lot, and I have received the greatest support from the community I don't know of a bigger propeller. "
30:22,Sanyam Bhutani,"Nalini one of my mentors and fellow students from fast AI and Tanya she goes by a blonde on Kaggle and travelling Tati, Nalini asks, What is one value that defines you the one that will never change no matter what? And the question by Tanya which is a similar one is if you had to describe yourself in one word, what will it be? One word, sincere, I would say. One value that won't change for me is if I set my mind to do one thing, I will remain sincere to you in the truest sense, I'll try my best to do it. I have a okay record of doing it with CDTS this year, two interviews each week, audio video subtitles."
31:13,Sanyam Bhutani,"Jason Antic, fast AI hero and creator of DeOldify asks, every time I've interacted with you, you seem to be the happiest person I've ever met. What's your secret? And you need to understand, Jason. I'm 22 I'm doing what I love. And I get to talk to Jason Antic, What else could I ask for what it I don't know how to how to answer that. "
31:40,Sanyam Bhutani,"But Dimitri Godreev the dott asks, who inspires you and how did it change since you started your channel, the podcast? Who, this this one had actually created an interesting controversy for me. I was side cornered by a few Grand Masters. Here, you call every single one of us your heroes, your biggest hero. And if I if I'm to say that my biggest inspiration would be my parents, my biggest heroes will be my parents. If I happen to pick my top heroes but honestly, every single one of the person in this field that I really look up to and have interviewed inspires me a lot. How it has changed, it has only grown my respect and admiration for these people. "
32:37,Sanyam Bhutani,"So the hundred podcast is also coming up and Sebastian Ruder knows that. How have your question and the way you ask them, change from your pod- first podcast to 100. So one thing I've been really cautious of is whenever I interview someone and anyone and such a respectable capacity or inner search high achieving capacity. So I don't like to start with questions asking, why don't you tell me a bit about yourself? Why don't you do this? Why don't you? I don't like the other person to do my work. I like to ask specific questions. And I think I've improved a bit upon that. Now, I try to spend a lot, a lot more time, much more than earlier, sometimes even four or five days. Just trying to think of questions that I'd like to ask. "
33:30,Sanyam Bhutani,"Oh, this this. This is a tricky one. Karthik from DS net, one of my heroes from DS net community asks, you invest a lot of time preparing these interviews. Do you have days when you get the feeling that this could be better spent somewhere else? Personally, career wise learning something new or Kaggle? I'm not gonna lie. Yes. I would love to Kaggle more. My excuse is I'm young. If I may. I'm one year older now, but I really adhere to the advice that you know, I can mess up as much and till at least at least till I'm 30. So that's how I started the podcast. That's why I went full blown into it. I'm neither a good Kaggler or a programmer, but I love what I do. Maybe it's not the best decision. I don't know if I fail with this."
